image_path,image_name,width,height,channels,aspect_ratio,file_size_mb,brightness,contrast,split
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_001.jpg,IDRiD_001,4288,2848,3,1.5056179775280898,0.3907012939453125,62.90233,69.73316,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_002.jpg,IDRiD_002,4288,2848,3,1.5056179775280898,0.3828439712524414,62.120453,68.319046,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_003.jpg,IDRiD_003,4288,2848,3,1.5056179775280898,0.26811981201171875,49.1323,66.32324,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_004.jpg,IDRiD_004,4288,2848,3,1.5056179775280898,0.37700939178466797,56.661983,58.358917,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_005.jpg,IDRiD_005,4288,2848,3,1.5056179775280898,0.3750019073486328,68.073204,60.486744,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_006.jpg,IDRiD_006,4288,2848,3,1.5056179775280898,0.38922977447509766,55.095604,56.404114,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_007.jpg,IDRiD_007,4288,2848,3,1.5056179775280898,0.3697013854980469,51.12682,49.415684,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_008.jpg,IDRiD_008,4288,2848,3,1.5056179775280898,0.40995025634765625,52.481632,50.455685,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_009.jpg,IDRiD_009,4288,2848,3,1.5056179775280898,0.36625099182128906,45.015793,49.490963,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_010.jpg,IDRiD_010,4288,2848,3,1.5056179775280898,0.3653726577758789,60.75048,72.90329,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_011.jpg,IDRiD_011,4288,2848,3,1.5056179775280898,0.3599700927734375,53.08012,64.15777,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_012.jpg,IDRiD_012,4288,2848,3,1.5056179775280898,0.38456058502197266,88.39202,71.99437,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_013.jpg,IDRiD_013,4288,2848,3,1.5056179775280898,0.3624134063720703,85.28288,72.29324,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_014.jpg,IDRiD_014,4288,2848,3,1.5056179775280898,0.26859569549560547,38.626343,51.35651,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_015.jpg,IDRiD_015,4288,2848,3,1.5056179775280898,0.3690958023071289,62.774338,71.13493,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_016.jpg,IDRiD_016,4288,2848,3,1.5056179775280898,0.27577781677246094,55.26958,68.65002,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_017.jpg,IDRiD_017,4288,2848,3,1.5056179775280898,0.24068927764892578,57.25855,71.48103,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_018.jpg,IDRiD_018,4288,2848,3,1.5056179775280898,0.23831748962402344,42.465996,56.30197,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_019.jpg,IDRiD_019,4288,2848,3,1.5056179775280898,0.24626636505126953,34.674683,47.129692,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_020.jpg,IDRiD_020,4288,2848,3,1.5056179775280898,0.3715791702270508,75.3679,71.8641,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_021.jpg,IDRiD_021,4288,2848,3,1.5056179775280898,0.3674354553222656,74.90288,70.646324,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_022.jpg,IDRiD_022,4288,2848,3,1.5056179775280898,0.3895120620727539,72.79948,66.653656,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_023.jpg,IDRiD_023,4288,2848,3,1.5056179775280898,0.4142894744873047,58.613777,65.22642,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_024.jpg,IDRiD_024,4288,2848,3,1.5056179775280898,0.4044675827026367,61.335674,68.0586,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_025.jpg,IDRiD_025,4288,2848,3,1.5056179775280898,0.34114933013916016,38.747482,50.26776,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_026.jpg,IDRiD_026,4288,2848,3,1.5056179775280898,0.33075714111328125,38.539608,50.877575,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_027.jpg,IDRiD_027,4288,2848,3,1.5056179775280898,0.36491870880126953,55.61028,66.4635,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_028.jpg,IDRiD_028,4288,2848,3,1.5056179775280898,0.3802976608276367,54.95186,65.261505,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_029.jpg,IDRiD_029,4288,2848,3,1.5056179775280898,0.40030860900878906,56.322495,64.80588,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_030.jpg,IDRiD_030,4288,2848,3,1.5056179775280898,0.25229835510253906,25.309362,32.76564,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_031.jpg,IDRiD_031,4288,2848,3,1.5056179775280898,0.2798347473144531,54.766846,65.70038,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_032.jpg,IDRiD_032,4288,2848,3,1.5056179775280898,0.3654346466064453,64.55851,68.88997,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_033.jpg,IDRiD_033,4288,2848,3,1.5056179775280898,0.3700752258300781,67.97644,73.21297,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_034.jpg,IDRiD_034,4288,2848,3,1.5056179775280898,0.39229679107666016,57.143154,63.20668,train
